totalPkt,totalSize,DNSpkt,httpPkt,httpsPkt,DHCPpkt,TCPPkt,UDPPkt,inPkt,inByte,outPKT,outByte,ratioInOut,medianIn,medianOut,avgIn,avgOut,avgTotal,maxOutSize,maxInSize,rationNumInOut,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,result
29025,28918039,6,1,0,0,28949,116,8851,696144,20174,28221895,40.54,64,1420,78.65,1398.92,0,1420,1420,0.44,0.26,0,0.05,0.01,6.65,0.01,0.69,0.01,976.16,0.01,1
26313,23950707,6,0,0,0,26288,141,9722,712244,16591,23238463,32.63,64,1420,73.26,1400.67,0,1420,1420,0.59,0,0.03,0.02,0.04,4.74,0.04,0.35,0.04,498.6,0.04,1
8622,6869409,0,0,0,0,8613,150,3809,421572,4813,6447837,15.29,52,1420,110.68,1339.67,0,1420,1420,0.79,0.18,0.18,0.03,0.11,14.62,0.11,0.18,0.11,252.62,0.11,1
341,25400,2,0,0,0,8941,13,325,23276,16,2124,0.09,52,52,71.62,132.75,0.01,1420,564,20.31,19.46,9.43,10.68,0.08,608.79,0.08,0.11,0.08,22.04,0.08,1
1830,1339398,3,0,0,0,10760,11,898,62392,932,1277006,20.47,64,1420,69.48,1370.18,0,1279,1420,0.96,1.69,1.51,0.04,0.1,3.64,0.1,0.06,0.1,86.67,0.1,1
1694,1239256,6,0,0,2,1648,57,819,58432,877,1181516,20.22,64,1420,71.35,1347.22,0,1378,1420,0.93,0.23,0.04,0.06,0.02,4.21,0.02,0.11,0.02,155.45,0.02,1
29,7199,0,0,0,0,1668,9,23,6226,6,973,0.16,199,132,270.7,162.17,0,1420,564,3.83,6.24,0.82,0.33,0.13,93.53,0.13,0.13,0.13,37.67,0.13,1
1843,1342354,0,0,0,0,1820,32,871,58184,972,1284170,22.07,64,1420,66.8,1321.16,0,935,1420,0.9,0,0,0.04,0.04,3.31,0.04,0.11,0.04,145.14,0.04,1
179,47678,1,0,0,0,162,49,91,9546,88,38132,3.99,60,100,104.9,433.32,0,376,1420,1.03,0.15,0,0.18,0.06,19.06,0.06,0.17,0.06,95.39,0.06,1
8,1715,1,0,0,0,164,6,7,1663,1,52,0.03,304,52,237.57,52,0,305,52,7,31.83,0.82,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,1
17,2511,0,0,0,0,11,12,12,2212,5,299,0.14,304,52,184.33,59.8,0.01,305,52,2.4,0,0,0.67,0.17,31.33,0.17,0.33,0.17,8.83,0.17,1
460,151484,18,0,0,0,410,50,323,95797,137,55687,0.58,52,147,296.59,406.47,0,1420,1420,2.36,0.08,0,1.07,0.02,397.94,0.02,0.22,0.02,93.57,0.02,1
170,38775,2,0,0,0,168,52,148,35677,22,3098,0.09,52,56,241.06,140.82,0,1420,585,6.73,1.63,0.07,3,0.5,754.42,0.5,0.23,0.5,49.1,0.5,1
