totalPkt,totalSize,DNSpkt,httpPkt,httpsPkt,DHCPpkt,TCPPkt,UDPPkt,inPkt,inByte,outPKT,outByte,ratioInOut,medianIn,medianOut,avgIn,avgOut,avgTotal,maxOutSize,maxInSize,rationNumInOut,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,result
1186,950020,17,0,0,0,1146,121,482,42108,728,913060,21.68,52,1470,87.36,1254.2,0,1121,7142,0.66,1.33,0.01,1.04,0.03,85.07,0.03,1.94,0.03,2889.9,0.03,0
2518,1511667,33,0,0,0,3610,54,1259,137366,1305,1397449,10.17,52,1450,109.11,1070.84,0,2948,4358,0.96,0.01,0,0.72,0.02,82.93,0.02,0.84,0.02,1073.55,0.02,0
1812,1485192,11,0,0,0,5406,16,775,94681,1069,1401096,14.8,52,1450,122.17,1310.66,0,1926,7142,0.72,0.04,0,1.29,0.07,149.42,0.07,2.09,0.07,3031.27,0.07,0
829,572048,12,0,0,0,6217,18,361,43278,470,528946,12.22,52,1450,119.88,1125.42,0,2408,4957,0.77,0.01,0,1.03,0.06,138.04,0.06,1.6,0.06,2107.78,0.06,0
3302,2164959,52,0,0,0,3157,163,1436,173876,1909,1995799,11.48,52,1470,121.08,1045.47,0,1688,15980,0.75,0.06,0.01,0.64,0.01,77.02,0.01,1.17,0.01,1565.66,0.01,0
990,762679,19,0,0,0,958,195,406,45638,597,718151,15.74,52,1500,112.41,1202.93,0,2046,8740,0.68,0.01,0.01,0.76,0.03,99.99,0.03,1.5,0.03,2207.16,0.03,0
688,427145,16,0,0,0,1615,31,344,73978,375,356698,4.82,65,1470,215.05,951.19,0,2388,4306,0.92,0.01,0,1.16,0.03,284.15,0.03,1.36,0.03,1678.58,0.03,0
72,6374,14,0,0,0,1671,16,41,3063,40,4089,1.33,52,69,74.71,102.22,0.01,579,853,1.02,0.01,0,0.09,0.07,4.11,0.07,0.15,0.07,25.02,0.07,0
1191,873024,15,0,0,0,1167,40,556,79672,647,794489,9.97,80,1470,143.29,1227.96,0,1910,7142,0.86,4.65,0.04,1.05,0.04,172.04,0.04,1.36,0.04,1969.99,0.04,0
142,28280,11,0,0,0,1292,17,80,12602,61,15618,1.24,52,60,157.53,256.03,0.01,1500,4001,1.31,0.04,0.04,0.38,0.06,111.01,0.06,0.23,0.06,143.2,0.06,0
2278,1362362,46,0,0,0,3487,83,1093,103503,1194,1259728,12.17,52,1450,94.7,1055.05,0,1450,4809,0.92,0.04,0.04,0.54,0.01,54,0.01,0.74,0.01,966.64,0.01,0
290,253710,10,0,0,0,276,14,124,12824,175,241591,18.84,64,1470,103.42,1380.52,0,1500,7142,0.71,0.13,0,1.03,0.07,114.31,0.07,1.85,0.07,3189.71,0.07,0
163,37735,11,0,0,0,147,30,95,13542,78,26471,1.95,52,88.5,142.55,339.37,0,912,4396,1.22,0.09,0,0.35,0.06,83.07,0.06,0.28,0.06,223.17,0.06,0
786,524160,18,0,0,0,754,62,368,44026,419,480186,10.91,80,1470,119.64,1146.03,0,1500,5711,0.88,0.13,0.04,1.29,0.03,156.94,0.03,1.64,0.03,2214.51,0.03,0
90,12164,8,0,0,0,80,72,53,9062,49,4221,0.47,64,77,170.98,86.14,0.01,1655,300,1.08,0.06,0.1,0.17,0.1,64.9,0.1,0.22,0.1,18.95,0.1,0
735,727501,9,0,0,0,723,84,257,17686,481,709971,40.14,52,1470,68.82,1476.03,0,1740,7142,0.53,0,0.01,1.54,0.08,92.2,0.08,3.39,0.08,5433.93,0.08,0
98,12997,9,0,0,0,86,96,53,8191,49,5123,0.63,60,60,154.55,104.55,0.01,1500,396,1.08,0,0,0.21,0.08,79.66,0.08,0.21,0.08,23.52,0.08,0
585,468637,10,0,0,0,569,112,242,18628,350,450471,24.18,80,1470,76.98,1287.06,0,702,2888,0.69,0.13,0.13,1.72,0.06,120.75,0.06,2.83,0.06,3999.98,0.06,0
102,18796,11,0,0,0,86,128,55,7813,48,11035,1.41,52,103,142.05,229.9,0.01,1465,1500,1.15,0.1,0,0.24,0.06,82.48,0.06,0.26,0.06,98.52,0.06,0
971,1037994,10,0,0,0,957,142,260,19060,714,1019078,53.47,52,1470,73.31,1427.28,0,1435,7142,0.36,0.02,1.6,2.07,0.07,138.9,0.07,6.7,0.07,9955.4,0.07,0
57,8628,9,0,0,0,45,154,37,6195,29,2966,0.48,52,52,167.43,102.28,0.01,1500,337,1.28,3.64,0,0.38,0.08,160.24,0.08,0.21,0.08,27.1,0.08,0
452,441174,9,0,0,0,440,166,158,9909,301,431726,43.57,52,1470,62.72,1434.31,0,840,7142,0.52,0.03,0.18,1.36,0.08,89.26,0.08,3.15,0.08,4910.38,0.08,0
100,19885,12,0,0,0,522,18,57,4639,49,15548,3.35,52,86,81.39,317.31,0.01,937,2948,1.16,0.02,0,0.45,0.06,56.17,0.06,0.34,0.06,246.7,0.06,0
516,514757,9,0,0,0,1026,12,149,10501,378,505123,48.1,52,1470,70.48,1336.3,0,1262,2888,0.39,0.01,0,1.24,0.09,78.86,0.09,4.1,0.09,5907.82,0.09,0
29,2085,8,0,0,0,1045,10,15,790,15,1349,1.71,52,52,52.67,89.93,0.01,60,300,1,0.04,0,0.13,0.11,3.31,0.11,0.19,0.11,8.88,0.11,0
662,679757,10,0,0,0,1693,14,193,15915,475,664144,41.73,52,1470,82.46,1398.2,0,1500,4306,0.41,0.01,0,1.5,0.08,140.85,0.08,4.57,0.08,6695.16,0.08,0
48,3473,14,0,0,0,1725,16,31,1888,28,2384,1.26,52,63.5,60.9,85.14,0.01,150,300,1.11,0.01,0,0.06,0.07,3.26,0.07,0.06,0.07,3.26,0.07,0
745,617999,8,0,0,0,735,26,325,24597,424,593547,24.13,80,1470,75.68,1399.88,0,703,4306,0.77,1.68,0,6.56,0.1,492.87,0.1,8.8,0.1,12828.51,0.1,0
180,51425,15,0,0,0,144,62,113,25208,88,30805,1.22,60,103,223.08,350.06,0,1740,5711,1.28,0.04,0.04,0.46,0.03,136.99,0.03,0.25,0.03,230.07,0.03,0
1059,873720,19,0,0,0,1022,99,408,95039,656,779001,8.2,52,1470,232.94,1187.5,0,2888,4358,0.62,0.02,0,0.95,0.03,260.94,0.03,1.9,0.03,2650.23,0.03,0
105,17268,8,0,0,0,95,109,56,8272,55,9296,1.12,52,52,147.71,169.02,0.01,1500,4148,1.02,0.04,0.36,0.4,0.1,79.4,0.1,0.35,0.1,105.71,0.1,0
920,862468,35,0,0,0,957,58,305,27967,654,842551,30.13,52,1470,91.7,1288.3,0,2727,7142,0.47,0.04,0,0.84,0.02,86.68,0.02,2.67,0.02,3971.99,0.02,0
250,123344,8,0,0,0,1191,16,126,16750,123,106521,6.36,52,569,132.94,866.02,0,1544,5844,1.02,0.04,0.05,0.6,0.07,89.12,0.07,0.65,0.07,773.97,0.07,0
400,302653,12,0,0,0,1572,19,152,12364,254,290463,23.49,52,1470,81.34,1143.56,0,1396,2981,0.6,3.42,3.36,0.68,0.06,53.69,0.06,1.62,0.06,2191.56,0.06,0
988,616636,27,0,0,0,940,67,469,55478,589,568146,10.24,52,1465,118.29,964.59,0,1569,8740,0.8,0.85,0.04,0.36,0.02,55.1,0.02,0.72,0.02,966.95,0.02,0
461,418612,9,0,0,0,449,79,141,31390,326,387616,12.35,52,1470,222.62,1189.01,0,2513,4306,0.43,0,0.18,0.73,0.08,225.41,0.08,2.39,0.08,3240.83,0.08,0
204,64645,18,0,0,0,174,109,116,36948,94,28043,0.76,61,87,318.52,298.33,0,2191,4148,1.23,3.66,0,0.56,0.03,349.52,0.03,0.39,0.03,155.38,0.03,0
811,753711,19,0,0,0,779,141,272,26796,540,726727,27.12,52,1470,98.51,1345.79,0,1716,5081,0.5,0.23,0.44,0.8,0.03,92.82,0.03,2.26,0.03,3446.24,0.03,0
216,55332,13,0,0,0,196,161,116,25318,106,30446,1.2,52,60,218.26,287.23,0,1470,4396,1.09,0.04,0.04,0.36,0.05,161.37,0.05,0.32,0.05,196.05,0.05,0
581,442302,15,0,0,0,557,185,242,28774,352,414507,14.41,52,1470,118.9,1177.58,0,1569,7142,0.69,0.01,7.14,0.82,0.04,105.27,0.04,1.53,0.04,2251.49,0.04,0
130,31698,11,0,0,0,114,16,77,9665,67,23327,2.41,52,89,125.52,348.16,0,1089,4213,1.15,0.04,0,0.32,0.06,39.32,0.06,0.27,0.06,249.85,0.06,0
667,658741,10,0,0,0,653,30,193,16533,476,642249,38.85,52,1470,85.66,1349.26,0,1625,3254,0.41,1.73,0.04,0.83,0.07,78.05,0.07,2.88,0.07,4149.14,0.07,0
376,145209,19,0,0,0,344,62,210,28316,175,118141,4.17,52,103,134.84,675.09,0,1743,8800,1.2,0.02,0.02,0.65,0.03,98.96,0.03,0.52,0.03,608.09,0.03,0
551,443191,11,0,0,0,535,78,198,20240,372,424530,20.97,52,1470,102.22,1141.21,0,1500,3546,0.53,0.03,3.29,0.72,0.06,86.77,0.06,1.9,0.06,2603.97,0.06,0
412,145415,53,0,0,0,869,78,253,55890,203,97935,1.75,60,103,220.91,482.44,0,2726,8250,1.25,0.03,0.04,0.45,0.01,187.44,0.01,0.28,0.01,343.03,0.01,0
975,725133,14,0,0,0,953,100,423,44416,570,682848,15.37,52,1470,105,1197.98,0,1450,4148,0.74,3.83,0,0.79,0.05,92.94,0.05,1.31,0.05,1791.55,0.05,0
123,22965,9,0,0,0,111,112,54,5725,68,17188,3,52,83,106.02,252.76,0.01,1268,2100,0.79,0.01,0.78,0.27,0.08,29.14,0.08,0.51,0.08,208.48,0.08,0
657,661440,13,0,0,0,635,134,191,22875,468,638739,27.92,52,1470,119.76,1364.83,0,1500,4306,0.41,0.07,0.03,1.08,0.05,155.61,0.05,3.55,0.05,5229.47,0.05,0
47,3442,8,0,0,0,37,144,27,1664,22,1960,1.18,52,85.5,61.63,89.09,0.01,150,300,1.23,0.03,0.01,0.03,0.1,0.03,0.1,0.06,0.1,2.4,0.1,0
1076,1071192,11,0,0,0,1060,160,358,24804,721,1046672,42.2,57.5,1470,69.28,1451.69,0,974,7142,0.5,0,0,1.63,0.06,107.73,0.06,3.88,0.06,5854.42,0.06,0
43,8404,9,0,0,0,31,172,26,2667,21,6013,2.25,52,88,102.58,286.33,0.01,953,3668,1.24,0.01,1.06,0.2,0.08,57.12,0.08,0.08,0.08,146.76,0.08,0
559,570575,9,0,0,0,578,12,164,11832,423,561746,47.48,52,1470,72.15,1328,0,1269,4306,0.39,0.05,0.06,0.99,0.09,52.46,0.09,3.61,0.09,5244.99,0.09,0
488,418401,10,0,0,0,474,26,224,20828,272,398220,19.12,72,1470,92.98,1464.04,0,1500,7142,0.82,0.06,6.56,1.49,0.07,151.39,0.07,1.96,0.07,3231.93,0.07,0
